id,a,b,c,d,e,f,g,h,sex,age,region,l,job_title,education,marriage,children,property,r,employment_status,t,u,v,w,x
2735,0.1219333333333333,0.1219333333333333,0.0,538.84,1.1974222222222224,1.1974222222222224,13,2.49,Woman,59.41666666666666,b,8,Head/Deputy head (division),Higher education (one or more),Divorced/widow,0 Zero,property,No,No couple,Yes,Yes,Yes,Yes,No
37351,0.08606,0.0391181818181818,53.82,215.18,0.43036,0.1956181818181818,5,0.0,Woman,36.16666666666666,a,120,NE employee,Higher education (one or more),Married,2 Two,property,No,Works,No,Yes,No,No,Yes
12712,0.2945142857142857,0.2945142857142857,68.75,206.25,0.5892857142857143,0.5892857142857143,2,0.0,Woman,48.0,a,7,NE employee,Secondary education (plus special education),Single/unmarried,1 One,property,No,No couple,Yes,Yes,No,No,No
6053,0.0983870967741935,0.0983870967741935,0.0,599.0,0.9661290322580646,0.9661290322580646,13,2.49,Man,24.08333333333333,g,33,NE employee,Secondary education (plus special education),Married,1 One,property,No,Unemployed,Yes,Yes,Yes,No,No
7188,0.0896923076923076,0.0896923076923076,66.84,602.16,0.9264,0.9264,13,1.99,Woman,41.583333333333336,e,204,NE employee,Higher education (one or more),Divorced/widow,1 One,property,No,No couple,Yes,Yes,No,Yes,No
6187,0.1377428571428571,0.0876545454545454,0.0,946.9,1.3527142857142858,0.8608181818181818,13,2.49,Woman,34.5,d,132,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Works,Yes,Yes,No,No,No
1483,0.01696,0.0110608695652173,0.0,249.9,0.1666,0.1086521739130434,13,2.49,Woman,28.75,e,60,NE employee,Higher education (one or more),Married,1 One,property,Yes,Works,Yes,Yes,No,No,No
64035,0.0811875,0.0811875,64.98,194.92,0.2436499999999999,0.2436499999999999,3,0.0,Man,50.41666666666666,e,360,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,otherwise,No,No couple,Yes,Yes,No,No,No
51957,0.2927333333333333,0.2927333333333333,168.47,263.53,0.8784333333333333,0.8784333333333333,3,0.0,Man,32.083333333333336,c,48,Head/Deputy head (organiz.),Secondary education (plus special education),Married,1 One,property,No,Unemployed,No,Yes,No,Yes,No
78144,0.03854,0.01927,99.97,199.03,0.39806,0.19903,13,1.99,Woman,27.08333333333333,f,67,NE employee,Higher education (one or more),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
28972,0.0285833333333333,0.0201764705882352,109.67,171.53,0.1429416666666666,0.1009,5,0.0,Man,34.416666666666664,f,96,NE employee,Higher education (one or more),Married,1 One,property,No,Works,Yes,Yes,No,No,No
77041,0.223225,0.223225,23.52,446.48,1.1162,1.1162,5,0.0,Man,37.91666666666666,f,85,NE employee,Higher education (one or more),Married,1 One,property,No,Unemployed,Yes,Yes,No,Yes,Yes
7731,0.058,0.04,0.0,599.0,0.599,0.4131034482758621,13,1.99,Man,32.333333333333336,c,3,NE employee,Higher education (one or more),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
21616,0.2448499999999999,0.1305866666666666,51.57,979.43,1.2242875,0.6529533333333333,5,0.0,Woman,39.66666666666666,d,114,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,Yes,No
7106,0.09425,0.047125,64.91,584.09,0.9734833333333334,0.4867416666666667,13,1.99,Man,32.333333333333336,a,86,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,No,Yes,No,Yes,No
54152,0.0462666666666666,0.032429906542056,36.4,692.6,0.9234666666666668,0.6472897196261682,20,0.01,Man,47.25,e,110,NE employee,Secondary education (plus special education),Married,0 Zero,property,Yes,Works,Yes,Yes,No,Yes,Yes
19562,0.0633555555555555,0.0300105263157894,14.97,285.03,0.6334,0.3000315789473683,10,0.0,Woman,55.5,f,380,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,Yes,Yes
82895,0.3946142857142857,0.2511181818181818,276.24,828.76,1.1839428571428572,0.7534181818181818,3,0.0,Woman,45.41666666666666,b,36,Head/Deputy head (division),Higher education (one or more),Married,0 Zero,property,Yes,Works,Yes,Yes,No,No,Yes
